coID,sales,inventory,cum_inventory,Cum_Stratum,E_Stratum_3,Cum_fy_Stratum
2174,28315.93011,155198.2239,387283971.4,3,4,5
4129,134522.5446,155256.3767,387439227.8,3,4,5
860,187276.8976,155315.1683,387594543,3,4,5
2895,58723.643,155319.1371,387749862.1,3,4,5
1801,13335.29614,155454.2357,387905316.3,3,4,5
1087,158534.6932,155463.865,388060780.2,3,4,5
1606,150538.6055,155481.6496,388216261.9,3,4,5
2404,63545.42551,155550.4091,388371812.3,3,4,5
2925,143143.6443,155722.539,388527534.8,3,4,5
1064,135073.3048,155910.9476,388683445.7,3,4,5
1607,169227.5457,155925.8674,388839371.6,3,4,5
1725,142472.62,155994.2772,388995365.9,3,4,5
2961,179682.9052,156007.9764,389151373.9,3,4,5
2443,142014.2167,156017.8599,389307391.7,3,4,5
1705,192094.397,156053.0309,389463444.8,3,4,5
4123,134272.9314,156107.1438,389619551.9,3,4,5
3152,99224.53579,156124.412,389775676.3,3,4,5
1619,187556.2141,156318.2709,389931994.6,3,4,5
2549,40166.17858,156422.8005,390088417.4,3,4,5
3159,102606.5818,156492.6341,390244910,3,4,5
1715,179911.7371,156497.2107,390401407.2,3,4,5
1697,154621.4802,156531.6514,390557938.9,3,4,5
1609,157842.5237,156534.0821,390714473,3,4,5
2592,73478.35349,156613.6645,390871086.6,3,4,5
1153,131302.3771,156686.0218,391027772.7,3,4,5
1188,121552.1853,156717.3028,391184490,3,4,5
4055,142248.6593,156763.158,391341253.1,3,4,5
1718,143557.4885,156910.6764,391498163.8,3,4,5
1493,157063.4021,157003.5313,391655167.3,3,4,5
1593,155017.8059,157071.7908,391812239.1,3,4,5
2505,43059.15668,157191.1448,391969430.3,3,4,5
2508,84660.29812,157230.185,392126660.4,3,4,5
2885,23532.04444,157413.8408,392284074.3,3,4,5
2791,67096.23664,157452.9151,392441527.2,3,4,5
1613,147228.3481,157486.5708,392599013.8,3,4,5
2810,71596.1677,157574.569,392756588.3,3,4,5
635,427059.2965,157642.1451,392914230.5,3,4,5
1346,145397.9698,157749.9656,393071980.4,3,4,5
4004,138777.4368,157840.2561,393229820.7,3,4,5
1236,147358.0822,157970.9887,393387791.7,3,4,5
1247,163138.6266,157998.3382,393545790,3,4,5
1300,177278.0556,158003.0547,393703793.1,3,4,5
1695,165116.5179,158012.6788,393861805.8,3,4,5
2348,298518.1703,158041.2977,394019847.1,3,4,5
1293,177271.4887,158063.8581,394177910.9,3,4,5
4139,145625.0747,158093.0888,394336004,3,4,5
1231,197394.0998,158160.6698,394494164.7,3,4,5
3164,56054.42579,158175.6061,394652340.3,3,4,5
4006,143271.2006,158176.0747,394810516.4,3,4,5
3299,71505.59185,158248.0933,394968764.5,3,4,5
4065,147106.4076,158267.4952,395127031.9,3,4,5
4113,142593.1466,158289.6878,395285321.6,3,4,5
1738,165412.1281,158424.2187,395443745.9,3,4,5
4102,142151.5707,158440.2601,395602186.1,3,4,5
1704,157042.4324,158477.9438,395760664.1,3,4,5
1089,154608.9754,158498.0372,395919162.1,3,4,5
1602,179328.2633,158504.3765,396077666.5,3,4,5
2152,81020.02722,158533.8123,396236200.3,3,4,5
1376,157951.5823,158626.3603,396394826.6,3,4,5
3278,46152.04275,158747.336,396553574,3,4,5
2876,61945.27827,158785.3673,396712359.3,3,4,5
3121,109796.6146,158792.095,396871151.4,3,4,5
1275,135310.9685,158898.8758,397030050.3,3,4,5
2930,144033.7098,158903.8002,397188954.1,3,4,5
2219,53668.84186,158945.3076,397347899.4,3,4,5
1408,159912.1316,159005.0472,397506904.5,3,4,5
1215,128231.4394,159201.7542,397666106.2,3,4,5
1038,160546.0573,159259.4391,397825365.7,3,4,5
1603,160490.0672,159286.4441,397984652.1,3,4,5
1422,161742.3422,159319.0972,398143971.2,3,4,5
1324,75230.68272,159329.3219,398303300.5,3,4,5
1113,134462.2999,159332.9516,398462633.5,3,4,5
1137,184229.3297,159358.0324,398621991.5,3,4,5
1437,125201.703,159408.767,398781400.3,3,4,5
1196,138313.8025,159419.6228,398940819.9,3,4,5
1703,169505.5298,159507.8299,399100327.7,3,4,5
948,274895.2447,159709.0966,399260036.8,3,4,5
2000,660128.9564,159734.2973,399419771.1,3,4,5
2477,81718.46434,159834.1834,399579605.3,3,4,5
2784,48453.12177,159844.095,399739449.4,3,4,5
856,169886.4941,159869.8955,399899319.3,3,4,5
1417,168493.4686,159913.9876,400059233.3,3,4,5
1209,179630.9844,160041.3283,400219274.6,3,4,5
749,233338.4276,160042.7739,400379317.4,3,4,5
3300,55213.07987,160078.7405,400539396.1,3,4,5
1037,174843.2753,160093.1603,400699489.3,3,4,5
2154,87443.65326,160168.0694,400859657.4,3,4,5
1717,146415.4265,160250.2469,401019907.6,3,4,5
4141,129402.6725,160273.2707,401180180.9,3,4,5
718,204190.6997,160277.2522,401340458.1,3,4,5
2990,54985.43961,160304.8752,401500763,3,4,5
1431,143471.2112,160387.0004,401661150,3,4,5
2064,133370.5008,160440.6961,401821590.7,3,4,5
865,218649.0271,160559.0633,401982149.8,3,4,5
1102,161554.6183,160666.4654,402142816.2,3,4,5
1287,142066.7695,160672.0815,402303488.3,3,4,5
1617,144387.8018,160751.894,402464240.2,3,4,5
1823,319346.5637,160961.7136,402625201.9,3,4,5
2403,105737.7245,160965.6492,402786167.6,3,4,5
1700,132744.9307,160976.5149,402947144.1,3,4,5
1616,136067.3751,161001.3983,403108145.5,3,4,5
1559,150067.6697,161029.4742,403269175,3,4,5
4120,132298.9807,161060.3965,403430235.4,3,4,5
1232,101580.7967,161138.177,403591373.5,3,4,5
1556,117216.4963,161222.2112,403752595.7,3,4,5
1564,166596.7169,161228.015,403913823.8,3,4,5
1258,150422.3689,161232.4594,404075056.2,3,4,5
2918,112371.1124,161286.063,404236342.3,3,4,5
1260,149168.576,161372.2782,404397714.6,3,4,5
1714,146235.3266,161457.8735,404559172.4,3,4,5
1752,145553.0341,161465.2582,404720637.7,3,4,5
3145,33097.94754,161561.1939,404882198.9,3,4,5
4096,135793.2754,161891.8396,405044090.7,3,4,5
1396,159624.0883,162052.5041,405206143.2,3,4,5
2265,331200.6178,162378.9626,405368522.2,3,4,5
2601,61936.56452,162469.6451,405530991.8,3,4,5
2557,65143.66197,162489.5985,405693481.4,3,4,5
1624,163841.7315,162547.1571,405856028.6,3,4,5
862,157652.6702,162569.8486,406018598.4,3,4,5
3339,72621.27738,162599.8152,406181198.3,3,4,5
1152,185717.6917,162641.4019,406343839.7,3,4,5
1176,172445.2337,162681.7756,406506521.4,3,4,5
1386,132875.778,162792.1253,406669313.6,3,4,5
2238,28686.55324,162821.7048,406832135.3,3,4,5
1590,172015.7792,162941.2117,406995076.5,3,4,5
2307,270730.3504,163122.4588,407158198.9,3,4,5
1563,174732.3713,163222.1968,407321421.1,3,4,5
1182,177070.9643,163248.8111,407484669.9,3,4,5
1727,155564.1733,163320.2098,407647990.1,3,4,5
1098,141874.4567,163450.2111,407811440.4,3,4,5
1982,650271.7642,163663.2472,407975103.6,3,4,5
1766,143536.1182,163706.025,408138809.6,3,4,5
4057,140260.4047,163712.4371,408302522.1,3,4,5
792,214622.1962,163750.4233,408466272.5,3,4,5
4068,145590.9895,163801.6423,408630074.1,3,4,5
1383,149039.5153,163874.378,408793948.5,3,4,5
2902,68734.42951,163889.6142,408957838.1,3,4,5
2339,256946.9829,163912.2334,409121750.4,3,4,5
1719,141221.5516,163922.5742,409285672.9,3,4,5
1103,169188.0905,164048.846,409449721.8,3,4,5
2446,81410.44631,164212.8292,409613934.6,3,4,5
1427,166810.6325,164254.3218,409778188.9,3,4,5
2663,51008.96264,164307.0685,409942496,3,4,5
1299,173944.9572,164312.9679,410106809,3,4,5
1581,166455.9607,164381.9581,410271190.9,3,4,5
1773,113205.4333,164452.91,410435643.8,3,4,5
1510,128656.3378,164457.8515,410600101.7,3,4,5
1070,155702.2173,164554.9222,410764656.6,3,4,5
1169,139849.8871,164586.3021,410929242.9,3,4,5
1884,436648.7948,164606.404,411093849.3,3,4,5
2184,41227.41155,164809.8948,411258659.2,3,4,5
